1-3-5-7-11-13 Eikosany @ 1*5*13,1*5*13,1*3*11,3*7*13,1*5*7,1*11*13,1*7*11,1*3*13,3*5*11,1*3*7,5*11*13,1*7*13,5*7*11,3*5*13,3*5*7,3*11*13,1*5*11,5*7*13,3*7*11,1*3*5,7*11*13
,1/1,66/65,21/20,14/13,11/10,77/65,6/5,33/26,84/65,11/8,7/5,77/52,3/2,21/13,33/20,22/13,7/4,231/130,24/13,77/40
[1-3-5-7]*11,,66/65,,,,77/65,,33/26,,,,77/52,,,,22/13,,231/130,,
[1-3-5-7]*13,1/1,,21/20,,,,6/5,,,,7/5,,3/2,,,,7/4,,,
[1-3-5-11]*7,,,,14/13,,77/65,,,84/65,,,77/52,,21/13,,,,231/130,,
[1-3-5-11]*13,1/1,,,,11/10,,6/5,,,11/8,,,3/2,,33/20,,,,,
[1-3-5-13]*7,,,21/20,14/13,,,,,84/65,,7/5,,,21/13,,,7/4,,,
[1-3-5-13]*11,,66/65,,,11/10,,,33/26,,11/8,,,,,33/20,22/13,,,,
[1-3-7-11]*5,,,,14/13,,,,33/26,,,,77/52,,21/13,,22/13,,,24/13,
[1-3-7-11]*13,,,21/20,,11/10,,6/5,,,,7/5,,,,33/20,,,,,77/40
[1-3-7-13]*5,1/1,,,14/13,,,,,,,,,3/2,21/13,,,7/4,,24/13,
[1-3-7-13]*11,,66/65,,,11/10,77/65,,,,,,,,,33/20,,,231/130,,77/40
[1-3-11-13]*5,1/1,,,,,,,33/26,,11/8,,,3/2,,,22/13,,,24/13,
[1-3-11-13]*7,,,21/20,,,77/65,,,84/65,,7/5,,,,,,,231/130,,77/40
[1-5-7-11]*3,,66/65,,,,,,33/26,84/65,,,,,21/13,,,,231/130,24/13,
[1-5-7-11]*13,1/1,,,,11/10,,,,,11/8,7/5,,,,,,7/4,,,77/40
[1-5-7-13]*3,,,21/20,,,,6/5,,84/65,,,,3/2,21/13,,,,,24/13,
[1-5-7-13]*11,,,,,11/10,77/65,,,,11/8,,77/52,,,,22/13,,,,77/40
[1-5-11-13]*3,,66/65,,,,,6/5,33/26,,,,,3/2,,33/20,,,,24/13,
[1-5-11-13]*7,,,,14/13,,77/65,,,,,7/5,77/52,,,,,7/4,,,77/40
[1-7-11-13]*3,,66/65,21/20,,,,6/5,,84/65,,,,,,33/20,,,231/130,,
[1-7-11-13]*5,1/1,,,14/13,,,,,,11/8,,77/52,,,,22/13,7/4,,,
[3-5-7-11]*1,,66/65,,14/13,,77/65,,,84/65,,,,,,,22/13,,,24/13,
[3-5-7-11]*13,,,21/20,,,,,,,11/8,,,3/2,,33/20,,7/4,,,77/40
[3-5-7-13]*1,1/1,,,14/13,,,6/5,,84/65,,7/5,,,,,,,,24/13,
[3-5-7-13]*11,,,,,,,,33/26,,11/8,,77/52,,,33/20,,,231/130,,77/40
[3-5-11-13]*1,1/1,66/65,,,11/10,,6/5,,,,,,,,,22/13,,,24/13,
[3-5-11-13]*7,,,21/20,,,,,,,,,77/52,,21/13,,,7/4,231/130,,77/40
[3-7-11-13]*1,,66/65,,,11/10,77/65,6/5,,84/65,,7/5,,,,,,,,,
[3-7-11-13]*5,,,,,,,,33/26,,11/8,,77/52,3/2,21/13,,,7/4,,,
[5-7-11-13]*1,1/1,,,14/13,11/10,77/65,,,,,7/5,,,,,22/13,,,,
[5-7-11-13]*3,,,21/20,,,,,33/26,,,,,3/2,21/13,33/20,,,231/130,,